Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
503,248,48830-78F01,RACK END SZ IGNIS 00-03 FRT LH/RH 25MM,SZ IGNIS,ASUKI,RACK END,0,11.77,21.2,0,,
1423,1168,56540-2H000,RACK END HY CERATO FORTE,KIA CERATO FORTE,G,RACK END,0,18,32.4,0,,
1424,1169,57724-2F000,RACK END KIA CERATO 05-,KIA CERATO 05,G,RACK END,0,20,36,0,,
1425,1170,SR-KH39XX,RACK END HY SANTA FE,HY SANTAFE,ASUKI,RACK END,0,13,23.4,0,,
1426,1171,SR-KK19,RACK END HY SONATA TRAJET KIA OPTIMA,HY SONATA TRAJET KIA  OPTIMA,ASUKI,RACK END,0,11,19.8,0,,
1427,1172,SR-KK25,RACK END KIA PICANTO,KIA PICANTO,ASUKI,RACK END,0,12,21.6,0,,
1428,1173,SR-1700L,RACK END MZ 323 99- PREMACY 01-,MZ 323 99- PREMACY 01-,555,RACK END,0,16.9,30.5,0,,
1429,1174,SR-1700L,RACK END MZ 323 99- PREMACY 01-,MZ 323 99- PREMACY 01-,555,RACK END,0,13.5,24.3,0,,
1430,1175,SR-1700R,RACK END MZ 323 99- PREMACY 01-,MZ 323 99- PREMACY 01-,555,RACK END,0,16.9,30.5,0,,
1431,1176,SR-1700R,RACK END MZ 323 99- PREMACY 01-,MZ 323 99- PREMACY 01-,555,RACK END,0,13.5,24.3,0,,
1432,1177,SR-7670,RACK END SZ APVGC415 04,SZ APVGC415 04,ASUKI,RACK END,0,14,25.2,0,,
1433,1178,ASR-3320,RACK END DHS GRAND  MOVE,DHS GRANDMOVE,ASUKI,RACK END,0,20,36,0,,
1434,1179,SR-6381XX,RACK END HD CIVIC 06-,HD CIVIC 06-,555,RACK END,0,18,32.4,0,,
1435,1180,SR-4480,RACK END NS B11 B12 N13 T11 U11 U12,NS B11 B12 N13 T11 U11 U12,555,RACK END,0,16.2,37.8,0,,
1437,1182,SR-7950,RACK END MIT TRITON KN4T,TRITON KB4TPAJERO SPORTS KG4W,ASUKI,RACK END,0,16,28.8,0,,
1438,1183,SR-3720,RACK END TY ST195 ST215,TY ST195 ST215,555,RACK END,0,19.8,35.7,0,,
1439,1184,ASR-3520,RACK END TY TCR11,TY TCR11,ASUKI,RACK END,0,11.3,20.4,0,,
1440,1185,SR-3711,RACK END TY KF80,TY KF80 LF80 RZF80 KIJANG,555,RACK END,0,24.4,44,0,,
1441,1186,SR-3711,RACK END TY KF80,TY KF80 LF80 RZF80 KIJANG,555,RACK END,0,12,21.6,0,,
1442,1187,SR-3B20XX,RACK END TY UZJ200 07-,TY LANDCRUISER 07,ASUKI,RACK END,0,31.3,45,0,,
1443,1188,SR-3840,RACK END TY LJ120,TY LJ120,ASUKI,RACK END,0,14,25.2,0,,
1444,1189,SR-3350XX,RACK END TY MARK X LEXUS IS350GS300350,TY MARK X LEXUS IS350,ASUKI,RACK END,0,15.7,22.5,0,,
1445,1190,45503-19075,RACK END TY EP70,TY EP70,555,RACK END,0,78,140.4,0,,
1446,1191,SR-TOYOTA,RACK END TY,TY,G,RACK END,0,18,32.4,0,,
1447,1192,SR-3930,RACK END TY COROLLA 08-,TY COROLLA 08-,555,RACK END,0,13,23.4,0,,
1448,1193,SR-2340,RACK END TY KE70,TY AE86 KE70,555,RACK END,0,8.6,15.5,0,,
2799,2544,SR-N090,RACK END NS C24 99-,NS SERENA C24 99,555,RACK END,0,21.9,39.5,0,,
3129,2874,SR-5380,RACEK END ISUZU D-MAX,ISUZU D-MAX,555,RACK END,0,18.6,33.5,0,,
3504,3249,SR-2970,RACK END TY AT180 LH112,TY AT180,555,RACK END,0,13.5,24.3,0,,
4200,3945,SR-2801,RACK END TY EE90,TY AE92 EE90,555,RACK END,0,11,19.8,0,,
4743,4488,SR-T020,RACK END TY VIOS 07-,TY VIOS 07-,555,RACK END,0,20,36,0,,
4902,4647,SR-3560,RACK END TY KZJ95 96-,TY KZJ95 RZJ95 RZN185 KZN185 95,555,RACK END,0,26.9,48.5,0,,
5206,4951,SR-3560,RACK END TY KZJ95 96-,TY KZJ95 RZJ95 RZN185 KZN185 95,555,RACK END,0,16.9,30.5,0,,
5503,5248,SR-1410,RACK END MZ E2000E2200 83,MZ E2000 E2200,555,RACK END,0,23.8,42.9,0,,
5685,5430,SR-6170,RACK END HD CIVIC 88-,HD  CIVIC SH3 EF2 87,555,RACK END,0,10,18,0,,
6157,5902,ASR-7750,RACK END MIT EA2A,MIT EA2A,ASUKI,RACK END,0,10.5,18.9,0,,
6158,5903,ASR-7750,RACK END MIT EA2A,MIT EA2A,ASUKI,RACK END,0,21.3,30.6,0,,
6159,5904,SR-2910,RACK END TY KF50,TY 5K KF50 91,555,RACK END,0,11.3,20.4,0,,
6841,6586,SR-T020,RACK END TY VIOS 07-,TY VIOS 07-,555,RACK END,0,13,23.4,0,,
6849,6594,SR-KH23,RACK END HY ELANTRA 01-,HY ELANTRA 01-,ASUKI,RACK END,0,11,19.8,0,,
6857,6602,SR-7231,RACK END MIT L300 86-,MIT L300 86-,555,RACK END,0,15,27,0,,
6860,6605,SR-3570,RACK END TY SOLUNA 96-,TY SOLUNA AL50 96,555,RACK END,0,10,18,2,,
6861,6606,SR-3570,RACK END TY SOLUNA 96-,TY SOLUNA AL50 96,555,RACK END,0,16.5,29.7,2,,
6863,6608,SR-2970,RACK END TY AT180 LH112,TY AT180,555,RACK END,0,13,23.4,0,,
6864,6609,RE-1180,RACK END TY EE80,TY EE80,SAFETY,RACK END,0,12,21.6,0,,
6870,6615,ASR-3320,RACK END DHS GRAND  MOVE,DHS GRANDMOVE,ASUKI,RACK END,0,12,21.6,0,,
6871,6616,ASR-3300XX,RACK END DHS COURE,DHS  CUORE,ASUKI,RACK END,0,11,19.8,0,,
6872,6617,ASR-2821,RACK END TY ST171 ST170,TY ST170 ST171,ASUKI,RACK END,0,10.8,19.5,0,,
