Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
21633,9991745118,,AKTIVITI 4M CONTOH KARANGAN T.34&5,,PGMETUSIN,B.MELAYU REF (1-6),0,4.5,0,0,6,
22188,9872311934,,KOLEKSI TERINDAH PERIBAHASA MELAYU,,PTS,B.MELAYU REF (1-6),0,10.5,0,0,0,
23939,9789670350875,,CONTOH KAEDAH PENULISAN KARANGAN TERBAIK & SURAT KIRIMAN TAHUN 4.5.6 SEK REN,,AM,B.MELAYU REF (1-6),0,7.25,0,0,4,
23940,9789670350882,,KECEKAPAN PENULISAN KARANGAN TERKINI & SURAT KIRIMAN TAHUN 4.5.6 SEK REN,,AM,B.MELAYU REF (1-6),0,7.25,0,0,9,
23941,9789670350899,,PELBAGAI FORMAT KARANGAN MUTAKHIR & SURAT KIRIMAN TAHUN 4.5.6 SEK REN,,AM,B.MELAYU REF (1-6),0,7.7,0,0,3,
23942,9789670350905,,LEBIH 100 BENTUK KARANGAN FAKTA TAHUN 4.5.6 SEK REN,,AM,B.MELAYU REF (1-6),0,6.75,0,0,5,
23953,9789670350912,,MENANGI 99 MODUL FORMAT KARANGAN CEMERLANG & SURAT KIRIMAN TAHUN 4.5.6 SEK REN,,AM,B.MELAYU REF (1-6),0,5.85,0,0,7,
23955,9789670586045,,120 CONTOH KARANGAN TERKINI TAHUN 4.5.6 SEK REN,,AM,B.MELAYU REF (1-6),0,6.6,0,0,1,
23957,9789670586069,,150 CONTOH MEMBINA AYAT BERDASARKAN GAMBAR TAHUN 4.5.6 SEK REN,,AM,B.MELAYU REF (1-6),0,5.7,0,0,8,
23958,9789670586076,,80 ULASAN KARANGAN BERDASARKAN NILAI MURNI & PENGAJARAN TAHUN 4.5.6 SEK REN,,AM,B.MELAYU REF (1-6),0,6.6,0,0,2,
23960,9789675248474,,SIRI TERBARU KATA PERIBAHASA: IBARAT GADAI HATI GADAI NASIB (2),,EDU JAYA (CHC),B.MELAYU REF (1-6),0,12.5,0,0,3,
23964,9789675248443,,SIRI TERBARU SIMPULAN BAHASA 1: ANGGUK ITIK & CERITA SIMPULAN BAHASA LAIN YANG MENARIK,,EDU JAYA (CHC),B.MELAYU REF (1-6),0,12.5,0,0,3,
23967,9789838808606,,SIRI MEMPERKAYA PERKATAAN BERLAWAN (ANTONIM) 2: PEKIK ANTONIMNYA BISIK,,EDDDIPLEX (CHC),B.MELAYU REF (1-6),0,13.6,0,0,2,
