Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
310,55,FW-3087,WHL CYL PUMP SZ SJ410 FRT RH,SZ SJ410,JAPAN,WCYL PUMP,0,16,0,0,,
311,56,FW-3086,WHL CYL PUMP SZ SJ410 RR LH,SZ SJ410,JAPAN,WCYL PUMP,0,16,0,0,,
316,61,BWK161,WHL CYL PUMP MIT PJR 92-RR LH,MIT V34-V44,LUCAS,WCYL PUMP,0,15,0,0,,
318,63,MB.366139,WHL CYL PUMP MIT E32/33 RR,MIT E32-E33,FIC,WCYL PUMP,0,12,0,0,,
319,64,HYN2100-R110,WHL CYL PUMP HY ACCENT 01- RR RH,HY ACCENT 01,TCIC,WCYL PUMP,0,12,0,0,,
321,66,HYN2100-R120,WHL CYL PUMP HY ACCENT 01-RR LH,HY ACCENT 01,TCIC,WCYL PUMP,0,12,0,0,,
325,70,MB058533,WHL CYL PUMP MIT A212A RR,MIT TREDIA CORDIA,ROCKY,WCYL PUMP,0,10,0,0,,
326,71,MB004020,WHL CYL PUMP MIT A121A RR LH,MIT A121A,TOKICO,WCYL PUMP,0,10,0,0,,
328,73,43301-SA0-003,WHL CYL PUMP HD CIVIC 79-RR LH,HD CIVIC,SINGYUNG,WCYL PUMP,0,7,0,0,,
384,129,WCA-0095,WHL CYL PUMP DHS EXTOL RR,DHS EXTOL,ASUKI,WCYL PUMP,0,10.8,0,0,,
393,138,WCA-H008,WHL CYL PUMP HY ELANTRA ACCENT ATOZ 92- RR RH,HY ELANTRA ACCENT ATOZ 92,ASUKI,WCYL PUMP,0,11,19.8,0,,
504,249,47550-19155,WHL CYL PUMP TY AE EE EP AT RR RH,TY AE EE EP AT,BGF,WCYL PUMP,0,8.8,15.9,0,,
1701,1446,43300-634-670,WHL CYL PUMP HD CIVIC 79- RR RH,HD CIVIC 79-,SAM,WCYL PUMP,0,10,18,0,,
1702,1447,43301-692-003,WHL CYL PUMP HD PRELUDE 79-RR LH,HD PRELUDE,FIC,WCYL PUMP,0,10,18,0,,
1703,1448,KIA3103-R110,WHL CYL PUMP KIA PREGIO VAN NEW RR RH,KIA PREGIO (NEW MODEL),TCIC,WCYL PUMP,0,21.3,38.4,0,,
1704,1449,53402-65D00,WHL CYL PUMP SZ G VTR 00- RR LH,SZ GRANDVITARA,SANYCO,WCYL PUMP,0,13.2,23.8,0,,
1705,1450,53401-65D00,WHL CYL PUMP SZ GRAND VTR 00- RR RH,SZ GRANDVITARA,SANYCO,WCYL PUMP,0,13.2,23.8,0,,
1706,1451,MDX53-26-610,WHL CYL PUMP MZ F FESTIVA RR,KIA FORD FESTIVA,PBR,WCYL PUMP,0,12.6,22.7,0,,
1707,1452,WCA-0054,WHL CYL PUMP DHS V22-99 FRT RH,DHS V22,ASUKI,WCYL PUMP,0,18.8,33.9,0,,
1708,1453,WCA-0055,WHL CYL PUMP DHS V22-99 FRT RH,DHS V22,ASUKI,WCYL PUMP,0,18.8,33.9,0,,
1709,1454,WCA-0058,WHL CYL PUMP DHS V22-99 RR RH,DHS V22,ASUKI,WCYL PUMP,0,15,27,0,,
1710,1455,47560-87302,WHL CYL PUMP DHS V22-99 RR LH,DHS V22 V99,ASUKI,WCYL PUMP,0,14.4,26,0,,
1711,1456,WCA-2405,WHL CYL PUMP TY VIOSECHO 04- RR LH,TY VIOS,ASUKI,WCYL PUMP,0,20,36,0,,
