Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
25043,9789991760520,,RAJA MELAKAR SEJARAH ,,JABATAN MUFTI ,LOCAL INTEREST,0,20,0,0,,
25050,9789991790138,,LEADING A LEGACY THE PEOPLES SULTAN,,BRUNEI PRESS,LOCAL INTEREST,0,50,0,5,,
25071,9789991754901,,KAMPONG AYER (HB),,PERSATUAN JURU FOTO,LOCAL INTEREST,0,80,0,1,,
25076,9789991732442,,TRACING THE JOURNEY OF MEDIA PERMATA TINTA PERMATA,,BRUNEI PRESS,LOCAL INTEREST,0,48.9,0,2,,
25082,9991732039,,TIME AND THE RIVER BRUNEI DARUSSALAM 1947-2000 A MEMOIR,,BRUNEI PRESS,LOCAL INTEREST,0,49,0,1,,
25086,9789991732435,,TASEK MERIMBUN THE BLACK BEAUTY OF BRUNEI DARUSSALAM,,BRUNEI PRESS,LOCAL INTEREST,0,55,0,2,,
25088,9991790802,,LAUT BRUNEI /  THE BRUNEI SEA,,BRUNEI PRESS,LOCAL INTEREST,0,40,0,1,,
25092,9789991732371,,ASSOCIATION,,BRUNEI PRESS,LOCAL INTEREST,0,68,0,1,,
25096,9789991732398,,BRUNEI MALAY WEDDING,,BRUNEI PRESS,LOCAL INTEREST,0,49,0,2,,
25100,9789991793214,,WOMEN OF BRUNEI INSPIRING LIFE STORIES,,PENTAGRAM (SITI KAPRAWI),LOCAL INTEREST,0,30,0,13,,
25107,9789991754918,,MODERN ARTISTS OF BRUNEI DARUSSALAM (HB),,DR HJ BAHARUDIN HJ MOHD ARUS,LOCAL INTEREST,0,80,0,5,,
25116,9789991760544,,THE KING WHO SHAPES HISTORY,,JABATAN MUFTI,LOCAL INTEREST,0,20,0,5,,
25124,9789991796185,,MELAYU ISLAM BERAJA THE MALAY ISLAMIC MONARCHY IN NEGARA BRUNEI DARUSSALAM PRIOR TO 1906: A HISTORICAL STUDY,,PERSATUAN SEJARAH BRUNEI (ROZAN),LOCAL INTEREST,0,13,0,35,,
25138,9789991793221,,MELAYU ISLAM BERAJA: SUATU PEMAHAMAN,,DBP,LOCAL INTEREST,0,12,0,2,,
25143,9789991798264,,ACTION POINT,,BRUNEI PRESS,LOCAL INTEREST,0,12.8,0,4,,
