Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
417,162,4PK 1420,BELTING 4PK 1420,UNIVERSAL,MITSUBOSHI,BELTING,0,10.7,19.3,0,,
446,191,MPMF-8385,BELTING 8385,UNIVERSAL,MITSUBOSHI,BELTING,0,4.81,8.7,0,,
447,192,MPMF-8450,BELTING 8450,UNIVERSAL,MITSUBOSHI,BELTING,0,6.8,12.3,0,,
448,MPMF-8450,MPMF-8450,V BELT MPMF-8450,UNIVERSAL,MITSUBOSHI,BELTING,0,8,12.8,0,,
452,MPMF-8440,MPMF-8440,V BELT MPMF-8440,UNIVERSAL,MITSUBOSHI,BELTING,5.72,8,9.9,10,,
454,MPMF-8420,MPMF-8420,V BELT MPMF-8420,UNIVERSAL,MITSUBOSHI,BELTING,5.46,7.7,11.9,9,,
456,MPMF-8410,MPMF-8410,V BELT MPMF-8410,UNIVERSAL,MITSUBOSHI,BELTING,5.33,7.5,11.6,0,,
457,MPMF-8400,MPMF-8400,V BELT MPMF-8400,UNIVERSAL,MITSUBOSHI,BELTING,5.19,7.4,11.2,0,,
458,203,MPMF-6535,BELTING 6535,UNIVERSAL,MITSUBOSHI,BELTING,0,4.07,7.4,0,,
459,204,MPMF-6520,BELTING 6520,UNIVERSAL,MITSUBOSHI,BELTING,0,3.95,7.2,0,,
460,205,MPMF-1440,BELTING 1440,UNIVERSAL,MITSUBOSHI,BELTING,0,2.7,4.8,0,,
461,206,REMF-1405,BELTING 1405,UNIVERSAL,MITSUBOSHI,BELTING,0,5,9,0,,
462,MPMF-1395,MPMF-1395,V BELT MPMF-1395,UNIVERSAL,MITSUBOSHI,BELTING,2.3,3.5,7.4,2,,
465,MPMF-1350,MPMF-1350,V BELT MPMF-1350,UNIVERSAL,MITSUBOSHI,BELTING,2.17,3.1,3.1,0,,
466,MPMF-1335,MPMF-1335,V BELT MPMF-1335,UNIVERSAL,MITSUBOSHI,BELTING,2.07,2.9,3.6,1,,
467,MPMF-1330,MPMF-1330,V BELT MPMF-1330,UNIVERSAL,MITSUBOSHI,BELTING,2.04,2.9,3.8,13,,
468,MPMF-1325,MPMF-1325,V BELT MPMF-1325,UNIVERSAL,MITSUBOSHI,BELTING,1.9,2.9,3.5,18,,
