Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
257,2,83710-20412,METER CABLE TY AT151 ATM,TY AT151,TOYOTA,SPEEDO METER,25,40,0,1,,
2123,1868,25050-12L06,METER CABLE NS C31 910,NS C31 910,OFK,SPEEDO METER,0,5.7,10.3,0,,
2124,1869,83710-12461,METER CABLE TY EE90 LONG,TY EE90,SBK,SPEEDO METER,0,10.3,18.6,0,,
3665,3410,83710-87311,METER CABLE DHS V22-,DHS V22 V33 MZ BONGO,SBK,SPEEDO METER,0,11.3,20.4,0,,
3774,3519,S083-41-660F,ACC CABLE MZ E2200,MZ E1800 E2200,HI-LEX,SPEEDO METER,0,20,36,0,,
5495,5240,TO-2000,METER CABLE TY KF50 TA60,TY KIJANG 5K TA60 KF50,STARFLEX,SPEEDO METER,0,10,18,0,,
5496,5241,TO-1350,METER CABLE DHS G100G200,DHS G100MG200,STAR-FLEX,SPEEDO METER,0,7.3,13.2,0,,
5498,5243,83710-12460,METER CABLE TY EE90 CE96 SHORT,TY EE90 CE96,SBK,SPEEDO METER,0,12.5,22.5,0,,
5600,5345,FC-1044,RUBBER CAP 13/16\,TY KE70,FIC,SPEEDO METER,0,0.5,0.9,0,,
10473,10218,83710-BZ011,METER CABLE TY AVANZA,TY AVANZA,SBK,SPEEDO METER,0,9.6,17.3,0,,
10474,10219,83710-12690,METER CABLE TY AE111,TY AE111,SBK,SPEEDO METER,0,9,16.2,0,,
12455,12200,TO-840,METER CABLE MIT C11,MIT C11,STARFLEX,SPEEDO METER,0,4.2,7.6,0,,
12461,12206,MB652270,METER CABLE MIT PJR V14-44W,MIT PAJERO V14-44W,HI-LEX,SPEEDO METER,0,13,23.4,0,,
12602,12347,TO-3380,METER CABLE DHS V22,DHS PICKUP V22,STARFLEX,SPEEDO METER,0,10.5,18.9,0,,
12603,12348,83710-12440,METER CABLE TY EE90,TY EE90,G,SPEEDO METER,0,27,48.6,0,,
12604,12349,83710-2461,METER CABLE TY EE90 LONG,TY EE90,SUPER,SPEEDO METER,0,10.3,18.6,0,,
12605,12350,MB114024,METER CABLE MIT A172/174A ISZ,MIT A172A-A174A ISUZU,YAZAKI,SPEEDO METER,0,13,23.4,0,,
12607,12352,MB171834,METER CABLE MIT A161/163A,MIT A161A-A163A,YAZAKI,SPEEDO METER,0,13,23.4,0,,
