Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
14409,BSHYDROLIC68/18L,BSHYDROLIC68/18L,BS - HYDRAULIC 68 18L,,BS,HYDRAULIC OIL,38.17,52,0,0,,
14410,ENIVG68/20L,ENIVG68/20L,ENI - RADULA HYDRAULIC OIL VG68 20L,,ENI,HYDRAULIC OIL,52.01,60,0,0,,
14411,TEXAS HYDRAULIC AW68,TEXAS HYDRAULIC AW68,TEXAS HYDRAULIC AW68 200L,,TEXAS,HYDRAULIC OIL,341.33,440,0,0,,
14544,ENIVG68/208L,ENIVG68/208L,ENI - HYDRAULIC OSO TEC ISO VG68 208L,,ENI,HYDRAULIC OIL,497,600,0,0,,
20203,EZHYDROe68/200L,EZHYDROe68/200L,ESSENZA - HYDROe AW (ISO VG68) 200L,,ESSENZA,HYDRAULIC OIL,380.917,525,0,20,,
20382,EZHYDROe46/200L,EZHYDROe46/200L,ESSENZA - HYDROe AW (ISO VG46) 200L,,ESSENZA,HYDRAULIC OIL,384.011,510,0,22,,
20383,EZHYDROe68/20L,EZHYDROe68/20L,ESSENZA - HYDROe AW (ISO VG68) 20L,,ESSENZA,HYDRAULIC OIL,44.8799,59,0,0,8,STOCK TAKE
20384,EZHYDROe46/20L,EZHYDROe46/20L,ESSENZA - HYDROe AW (ISO VG46) 20L,,ESSENZA,HYDRAULIC OIL,42.6759,55,0,13,,
