Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
19905,5K STEERING RACK,5K STEERING RACK,5K KIJANG DOS/MR 2851,,EASTIGER,STEERING RACK,90,140,0,0,,
19968,KF80 STEERING RACK,KF80 STEERING RACK,STEERING RACK KIJANG KF80,,,STEERING RACK,160,200,0,150,,
21052,STEERING RACK HONDA CIVIC FD,STEERING RACK HONDA ,STEERING RACK HONDA CIVIC FD,,,STEERING RACK,450,520,0,0,,
21113,45510-12091,45510-12091,STEERING RACK - TOYOTA EE90 ,,,STEERING RACK,70,150,0,0,11,STOCK TAKE
