stock num,brand,category,description,date,final balance,cost price,selling price
00138,ASUKI,WCYL PUMP,WHL CYL PUMP HY ELANTRA ACCENT ATOZ 92- RR RH,2018-02-01 23:59:59,0,$0.00,$0.00
00139,DENSO,DISTRIBUTOR CAP,DISTRIBUTOR CAP TY 7K,2018-02-01 23:59:59,0,$0.00,$0.00
00140,ASUKI,ABSORBER,ABSORBER FRT MIT N84,2018-02-01 23:59:59,0,$0.00,$0.00
00141,ASUKI,ABSORBER,ABSORBER FRT-LH MIT SPACEWAGON N84


 MIT N84,2018-02-01 23:59:59,0,$0.00,$0.00
MD-336080,GP,OIL FILTER,OIL FILTER MIT 4D68 MZ RF R2 ISUZU,2018-02-01 23:59:59,0,$3.25,$0.00
00143,KYB,ABSORBER,ABSORBER RR MIT COLT 2004,2018-02-01 23:59:59,0,$0.00,$0.00
00144,TWN,UPPER ARM,UPPER ARM RH NS URVAN E25,2018-02-01 23:59:59,0,$0.00,$0.00
00145,TWN,UPPER ARM,UPPER ARM  LH NS URVAN E25,2018-02-01 23:59:59,0,$0.00,$0.00
00146,SUPER,CONTACT POINT,CONTACT POINT TY 5K,2018-02-01 23:59:59,0,$0.00,$0.00
00147,FUJI,VALVE COVER GASKET,V C GASKET TY 1/2NZFE,2018-02-01 23:59:59,0,$0.00,$0.00
00148,GP,OIL SEAL,DRIVESHAFT OIL SEAL 35*76*9*12.5 HD ACCORD CA5,2018-02-01 23:59:59,0,$0.00,$0.00
00149,G,IGNITION COIL,IG COIL DHS TERIOS HC,2018-02-01 23:59:59,0,$0.00,$0.00
00150,KOBEI,BELTING,BELTING 5PK 1190,2018-02-01 23:59:59,0,$0.00,$0.00
00151,KOBEI,BELTING,BELTING 4PK 875,2018-02-01 23:59:59,0,$0.00,$0.00
00152,EXEDY,CLUTCH LINING,CLUTCH LINING 184X125X20TX22.4 MIT CB2 MZ323 MR90,2018-02-01 23:59:59,0,$0.00,$0.00
00153,FUJI,VALVE COVER GASKET,V C GASKET TY 1SZ K3VE,2018-02-01 23:59:59,0,$0.00,$0.00
00154,FUJI,VALVE COVER GASKET,VALVE COVER GASKET HY ELANTRA,2018-02-01 23:59:59,0,$0.00,$0.00
00155,TWN,FUEL FILTER,FUEL FILTER HY COUPE '05,2018-02-01 23:59:59,0,$0.00,$0.00
00156,G,TENSIONER BELT,TENSIONER BELT HD ODYSSEY,2018-02-01 23:59:59,0,$0.00,$0.00
00157,EXEDY,CLUTCH LINING,CLUTCH LINING 212*140*21*29.8 TY 7K,2018-02-01 23:59:59,0,$0.00,$0.00
00158,NACHI,CLUTCH BRG,CLUTCH BRG TY KF50/52,2018-02-01 23:59:59,0,$0.00,$0.00
00159,NSK,WHEEL BRG,WHEEL BRG ISUZU BIGHORN 45*75*21,2018-02-01 23:59:59,0,$0.00,$0.00
00160,NOK,OIL SEAL,CRANKSHAFT RR OIL SEAL 85X103X8,2018-02-01 23:59:59,0,$0.00,$0.00
FT-305,FUJI,ALTERNATOR CARBON BR,ALTERNATOR CARBON BRUSH,2018-02-01 23:59:59,0,$1.00,$0.00
00162,MITSUBOSHI,BELTING,BELTING 4PK 1420,2018-02-01 23:59:59,0,$0.00,$0.00
00163,ASUKI,CLUTCH LINING,CLUTCH LINING 190X136X18T NS B13/14,2018-02-01 23:59:59,0,$0.00,$0.00
00164,FLOSSER,HORN,HORN 12V SINGLE,2018-02-01 23:59:59,0,$0.00,$0.00
00165,NSK,BEARING,BRG 12*32*10,2018-02-01 23:59:59,0,$0.00,$0.00
00166,G,DISTRIBUTOR ROTOR,DIST ROTOR TY AE101,2018-02-01 23:59:59,0,$0.00,$0.00
00168,ASUKI,BELTING,BELTING 4PK 845,2018-02-01 23:59:59,0,$0.00,$0.00
00169,G,CRANK SENSOR,CRANK SENSOR MIT GRANDIS,2018-02-01 23:59:59,0,$0.00,$0.00
00170,DAIKIN,CLUTCH COVER,CLUTCH COVER 250X160X286 FORD RANGER WL,2018-02-01 23:59:59,0,$0.00,$0.00
00171,SANGSHIN,BRAKE SHOE,BRAKE SHOE RR KIA SEPHIA SHUMA,2018-02-01 23:59:59,0,$0.00,$0.00
00172,DREAM,ABSORBER BUSH,ABSORBER BUSH HD ACC 89-00,2018-02-01 23:59:59,0,$0.00,$0.00
00173,898,BYPASS HOSE,BY PASS HOSE HD ACC 89-,2018-02-01 23:59:59,0,$0.00,$0.00
00174,NOK,STRG GROMMET,STRG GROMMET NS B13/14 R10,2018-02-01 23:59:59,0,$0.00,$0.00
00175,TANAWAT,ABSORBER BUSH,ABSORBER BUSH (18MM),2018-02-01 23:59:59,0,$0.00,$0.00
00176,I & R,ARM BUSH,LWR ARM BUSH TY SOLUNA 16MM,2018-02-01 23:59:59,0,$0.00,$0.00
00177,GP,TIMING BELT,TIMING BELT 122RU20 MIT GRANDIS,2018-02-01 23:59:59,0,$0.00,$0.00
00180,SUZUKA,BATTERY,BATTERY W/MAINTENANCE,2018-02-01 23:59:59,0,$0.00,$0.00
00181,NOK,OIL SEAL,OIL SEAL 25.5*37.5*6  TY YARISVIOS2NZ-FE,2018-02-01 23:59:59,0,$0.00,$0.00
00182,NDC,CON ROD BRG,CON ROD BRG TY 2/3E STD,2018-02-01 23:59:59,0,$0.00,$0.00
00183,NOK,OIL SEAL,FRT CRANKSHAFT OIL SEAL 38.5*58*8.5 TY 4K5K,2018-02-01 23:59:59,0,$0.00,$0.00
00184,G,TIMING BELT,TIMING BELT 177R25 TY 2C,2018-02-01 23:59:59,0,$0.00,$0.00
ASK-WP-18,ASUKI,WIPER BLADE,ASUKI WIPER 18,2018-02-01 23:59:59,0,$4.00,$0.00
00186,ASUKI,WHEEL HUB BRG,FRT WHL HUB BRG  NS E25,2018-02-01 23:59:59,0,$0.00,$0.00
00187,LEE,ABSORBER,ABSORBER TY EP81 SOLUNA AL50 FRT-LH,2018-02-01 23:59:59,0,$0.00,$0.00
00188,LEE,ABSORBER,ABSORBER TY EP81SOLUNA FRT-RH,2018-02-01 23:59:59,0,$0.00,$0.00
00189,RAMBO,PLUG CABLE,PLUG CABLE TY 4AF,2018-02-01 23:59:59,0,$0.00,$0.00
00190,REBUILT,STARTER,STARTER TY CAMRY,2018-02-01 23:59:59,0,$0.00,$0.00
00191,MITSUBOSHI,BELTING,BELTING 8385,2018-02-01 23:59:59,0,$0.00,$0.00
00192,MITSUBOSHI,BELTING,BELTING 8450,2018-02-01 23:59:59,0,$0.00,$0.00
MPMF-8450,MITSUBOSHI,BELTING,V BELT MPMF-8450,2018-02-01 23:59:59,0,$0.00,$0.00
00194,ASUKI,BELTING,BELTING 8445,2018-02-01 23:59:59,0,$0.00,$0.00
00195,ASUKI,BELTING,BELTING 8430,2018-02-01 23:59:59,0,$0.00,$0.00
00196,ASUKI,BELTING,BELTING 8425,2018-02-01 23:59:59,0,$0.00,$0.00
MPMF-8440,MITSUBOSHI,BELTING,V BELT MPMF-8440,2018-02-01 23:59:59,10,$5.72,$57.20
MPMF-8420,MITSUBOSHI,BELTING,V BELT MPMF-8420,2018-02-01 23:59:59,9,$5.46,$49.14
00200,ASUKI,BELTING,BELTING 8415,2018-02-01 23:59:59,0,$0.00,$0.00
MPMF-8410,MITSUBOSHI,BELTING,V BELT MPMF-8410,2018-02-01 23:59:59,0,$5.33,$0.00
MPMF-8400,MITSUBOSHI,BELTING,V BELT MPMF-8400,2018-02-01 23:59:59,0,$5.19,$0.00
00203,MITSUBOSHI,BELTING,BELTING 6535,2018-02-01 23:59:59,0,$0.00,$0.00
00204,MITSUBOSHI,BELTING,BELTING 6520,2018-02-01 23:59:59,0,$0.00,$0.00
00205,MITSUBOSHI,BELTING,BELTING 1440,2018-02-01 23:59:59,0,$0.00,$0.00
00206,MITSUBOSHI,BELTING,BELTING 1405,2018-02-01 23:59:59,0,$0.00,$0.00
MPMF-1395,MITSUBOSHI,BELTING,V BELT MPMF-1395,2018-02-01 23:59:59,2,$2.30,$4.60
00208,ECO,BRAKE PAD,BRAKE PAD KIA OPTIMA 11-KIA RIO 2010ACCENT NEWELANTRA '2012,2018-02-01 23:59:59,0,$0.00,$0.00
00209,RAMBO,PLUG CABLE,PLUG CABLE TY 4AFE,2018-02-01 23:59:59,0,$0.00,$0.00
MPMF-1350,MITSUBOSHI,BELTING,V BELT MPMF-1350,2018-02-01 23:59:59,0,$2.17,$0.00
MPMF-1330,MITSUBOSHI,BELTING,V BELT MPMF-1330,2018-02-01 23:59:59,13,$2.04,$26.52
MPMF-1320,MITSUBOSHI,BELTING,V BELT MPMF-1320,2018-02-01 23:59:59,4,$1.98,$7.92
MPMF-1315,MITSUBOSHI,BELTING,V BELT MPMF-1315,2018-02-01 23:59:59,0,$3.00,$0.00
MPMF-6480,MITSUBOSHI,BELTING,V BELT MPM-6480,2018-02-01 23:59:59,1,$3.79,$3.79
MPMF-6450,MITSUBOSHI,BELTING,V BELT MPMF-6450,2018-02-01 23:59:59,0,$3.55,$0.00
MPMF-6385,MITSUBOSHI,BELTING,V BELT MPMF-6385,2018-02-01 23:59:59,0,$3.80,$0.00
MPMF-6365,MITSUBOSHI,BELTING,V BELT MPMF-6365,2018-02-01 23:59:59,0,$3.50,$0.00
MPMF-6355,MITSUBOSHI,BELTING,V BELT MPMF-6355,2018-02-01 23:59:59,0,$3.50,$0.00
MPMF-6350,MITSUBOSHI,BELTING,V BELT MPMF-6350,2018-02-01 23:59:59,0,$3.50,$0.00
MPMF-6335,MITSUBOSHI,BELTING,V BELT MPMF-6335,2018-02-01 23:59:59,0,$3.30,$0.00
MPMF-6320,MITSUBOSHI,BELTING,V BELT MPMF-6320,2018-02-01 23:59:59,0,$3.20,$0.00
MPMF-6315,MITSUBOSHI,BELTING,V BELT MPMF-6315,2018-02-01 23:59:59,0,$3.10,$0.00
MPMF-6310,MITSUBOSHI,BELTING,V BELT MPMF-6310,2018-02-01 23:59:59,0,$3.10,$0.00
MPMF-6300,MITSUBOSHI,BELTING,V BELT MPMF-6300,2018-02-01 23:59:59,0,$2.37,$0.00
MPMF-6250,MITSUBOSHI,BELTING,V BELT MPMF-6250,2018-02-01 23:59:59,0,$1.97,$0.00
MPMF-6230,MITSUBOSHI,BELTING,V BELT MPMF-6230,2018-02-01 23:59:59,0,$1.81,$0.00
00231,G,BELTING,BELTING NS,2018-02-01 23:59:59,0,$0.00,$0.00
00232,G,BELTING,BELTING NS,2018-02-01 23:59:59,0,$0.00,$0.00
00233,GATES,BELTING,BELTING 9330,2018-02-01 23:59:59,0,$0.00,$0.00
00234,GATES,BELTING,BELTING 9279,2018-02-01 23:59:59,0,$0.00,$0.00
00235,MITSUBOSHI,BELTING,BELTING 8435,2018-02-01 23:59:59,0,$0.00,$0.00
00236,G,CRANK SENSOR,CRANK SENSOR NS N16 B15,2018-02-01 23:59:59,0,$0.00,$0.00
00237,FUJI,VALVE COVER GASKET,VALVE COVER GASKET HD PRELUDE,2018-02-01 23:59:59,0,$0.00,$0.00
00238,MOBIS,HAND PUMP,HAND PUMP MIT PJR 4D56,2018-02-01 23:59:59,0,$0.00,$0.00
00240,SANYCO,,CLUTCH PUMP,2018-02-01 23:59:59,0,$0.00,$0.00
MZ-036,GSP,CV JOINT,CV.JOINT 26*28*56 MZ 323,2018-02-01 23:59:59,0,$22.00,$0.00
MZ-025,GSP,CV JOINT,C V JOINT OUT 26X56X22 MZ 323 96- KIA SEPHIA,2018-02-01 23:59:59,0,$22.00,$0.00
