Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
440,ASK-WP-18,ASK-WP-18,ASUKI WIPER 18,UNIVERSAL,ASUKI,WIPER BLADE,4,5.2,0,0,,
518,ASK-WP-22,ASK-WP-22,ASUKI WIPER 22,UNIVERSAL,ASUKI,WIPER BLADE,4.1,5.7,0,1,,
2845,2590,PB53-17BL,WIPER BLADE 17\ (2PCS/SET),UNIVERSAL,PB,WIPER BLADE,0,1,1.8,0,,
3000,2745,WB-21-RAINEX-S,WIPER BLADE,UNIVERSAL,RAINEX,WIPER BLADE,0,0.5,0.9,0,,
3001,2746,WB-20-RAINEX-S,WIPER BLADE,UNIVERSAL,RAINEX,WIPER BLADE,0,0.5,0.9,0,,
3002,2747,WB-18-RAINEX-S,WIPER BLADE,UNIVERSAL,RAINEX,WIPER BLADE,0,0.5,0.9,0,,
3003,2748,WB-17-RAINEX-S,WIPER BLADE,UNIVERSAL,RAINEX,WIPER BLADE,0,0.5,0.9,0,,
3004,2749,WB-16-RAINEX-S,WIPER BLADE,UNIVERSAL,RAINEX,WIPER BLADE,0,0.5,0.9,0,,
3005,2750,WB-19-RAINEX-S,WIPER BLADE WB-19,UNIVERSAL,RAINEX,WIPER BLADE,0,0.5,0.9,0,,
3273,3018,PB48-12B,WIPER BLADE 12\ (2PCS/SET),UNIVERSAL,PB,WIPER BLADE,0,3,5.4,0,,
3505,3250,WB-51CM,WIPER BLADE,UNIVERSAL,BOSCH,WIPER BLADE,0,0.5,0.9,0,,
4795,ASK-WP-28,ASK-WP-28,ASUKI WIPER 28,UNIVERSAL,ASUKI,WIPER BLADE,13.2,18.5,0,26,,
13708,ASK-WP-20,ASK-WP-20,ASUKI WIPER 20,UNIVERSAL,ASUKI,WIPER BLADE,4.5,5.2,0,0,,
13709,ASK-WP-19,ASK-WP-19,ASUKI WIPER 19,UNIVERSAL,ASUKI,WIPER BLADE,3.6,5.2,0,0,,
13712,ASK-WP-16,ASK-WP-16,ASUKI WIPER 16,UNIVERSAL,ASUKI,WIPER BLADE,3.3,4.7,0,0,,
13787,HST-17,HST-17,WIPER BLADE,UNIVERSAL,HST,WIPER BLADE,0,4.2,7.6,0,,
13788,HST-20,HST-20,WIPER BLADE,UNIVERSAL,HST,WIPER BLADE,0,5,9,0,,
13790,HST-19,HST-19,WIPER BLADE,UNIVERSAL,HST,WIPER BLADE,0,4.5,8.1,17,,
13791,13536,HST-18,WIPER BLADE,UNIVERSAL,HST,WIPER BLADE,0,4.2,7.6,0,,
14313,ASK-WP-14,ASK-WP-14,ASUKI WIPER 14,UNIVERSAL,ASUKI,WIPER BLADE,3,4.2,0,1,,
14314,ASK-WP-17,ASK-WP-17,ASUKI WIPER 17,UNIVERSAL,ASUKI,WIPER BLADE,4,5,0,0,,
14315,ASK-WP-21,ASK-WP-21,ASUKI WIPER 21,UNIVERSAL,ASUKI,WIPER BLADE,4.8,5.2,0,63,,
14316,ASK-WP-24,ASK-WP-24,ASUKI WIPER 24,UNIVERSAL,ASUKI,WIPER BLADE,4.8,6.2,0,0,,
14347,GSP WB 18,GSP WB 18,GSP WIPER BLADE 18,,GSP,WIPER BLADE,5,7,0,0,,
14349,GSP WB 24,GSP WB 24,GSP WIPER BLADE 24,,GSP,WIPER BLADE,6,8,0,0,,
14384,ASK-WP-26,ASK-WP-26,ASUKI WIPER 26,UNIVERSAL,ASUKI,WIPER BLADE,5.4,7.2,0,1,,
14438,GSP WB 22,GSP WB 22,GSP WIPER BLADE 22,,GSP,WIPER BLADE,6,8,0,0,,
