Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
435,180,MF55565 (DIN55),BATTERY W/MAINTENANCE,UNIVERSAL,SUZUKA,BATTERY,0,82,147.6,0,,
566,NS60MF-B,NS60MF-B,MAS BATTERY NS60MF-B,UNIVERSAL,MAS,BATTERY,41.45,63,113.4,0,,
567,NS60MF-S,NS60MF-S,MAS BATTERY NS60MF-S,UNIVERSAL,MAS,BATTERY,42.97,63,113.4,4,,
2530,NS60AL(S),NS60AL(S),3K BATTERY NS60AL(S),UNIVERSAL,3K,BATTERY,37.2,55,102.6,0,,
3373,NS40,NS40,3K BATTERY NS40,UNIVERSAL,3K,BATTERY,30.55,45,84.6,0,,
4057,NS60A(S),NS60A(S),3K BATTERY NS60A(S),UNIVERSAL,3K,BATTERY,38.9245,55,102.6,0,,
4058,NS60AL(T),NS60AL(T),3K BATTERY NS60AL(T),UNIVERSAL,3K,BATTERY,36.5384,55,102.6,0,,
4220,3965,BATTERYACID1L,BATTERY ACID 1L,BATTERY,RAMBO,BATTERY,0,0.8,1.5,0,,
4222,NX120-7L,NX120-7L,3K BATTERY NX120-7L,UNIVERSAL,3K,BATTERY,68.0235,98,181.8,0,,
4223,NS70,NS70,3K BATTERY NS70,UNIVERSAL,3K,BATTERY,53.1684,80,149.4,0,,
4225,NS70L,NS70L,3K BATTERY NS70L,UNIVERSAL,3K,BATTERY,54.23,80,144,0,,
4951,4696,S-008 (+),BATTERY TERMINAL,UNIVERSAL,BKT,BATTERY,0,2.1,3.8,0,,
4952,4697,S-008 (-),BATTERY TERMINAL UNIVERSAL,UNIVERSAL,BKT,BATTERY,0,2,3.6,0,,
10485,NS60LMF-B,NS60LMF-B,MAS BATTERY NS60LMF-B,UNIVERSAL,MAS,BATTERY,42.97,63,113.4,2,,
11126,10871,65D31R (N70),BATTERY,UNIVERSAL,GS,BATTERY,0,89,160.2,0,,
11131,DIN100MF,DIN100MF,MAS BATTERY DIN100MF,UNIVERSAL,MAS,BATTERY,66.53,125,270,54,,
11132,NS40MF,NS40MF,MAS BATTERY NS40MF,UNIVERSAL,MAS,BATTERY,37.42,55,99,34,,
11133,DIN56618,DIN56618,3K BATTERY DIN56618 (DIN66L),UNIVERSAL,3K,BATTERY,58.88,80,149.4,25,,
11134,DIN55530,DIN55530,3K BATTERY  DIN55530 (DIN55L),UNIVERSAL,3K,BATTERY,46.5284,70,126,0,,
12037,N40,N40,3K BATTERY N40,UNIVERSAL,3K,BATTERY,36.36,54,97.2,181,,
12832,55D23LMF,55D23LMF,MAS BATTERY 55D23LMF,UNIVERSAL,MAS,BATTERY,54.05,78,140.4,0,,
12994,55D23L,55D23L,3K BATTERY 55D23L,UNIVERSAL,3K,BATTERY,53.38,70,131.4,0,,
13039,NX120-7LMF,NX120-7LMF,MAS BATTERY NX120-7LMF,UNIVERSAL,MAS,BATTERY,69.3,102,183.6,0,,
13142,DIN55548*,DIN55548*,3K BATTERY DIN55548 (DIN55R),UNIVERSAL,3K,BATTERY,49.0471,74,126,133,,
13222,NS40L,NS40L ,3K BATTERY NS40L,UNIVERSAL,3K,BATTERY,31.85,45,84.6,0,,
13294,NS70MF,NS70MF,MAS BATTERY NS70MF,UNIVERSAL,MAS,BATTERY,56.0572,85,153,69,,
13349,NS40LMF,NS40LMF,MAS BATTERY NS40LMF,UNIVERSAL,MAS,BATTERY,37.42,55,99,0,,
13367,NX120-7,NX120-7,3K BATTERY NX120-7,UNIVERSAL,3K,BATTERY,68.0235,98,181.8,0,,
13439,DIN66LMF,DIN66LMF,MAS BATTERY DIN66LMF,UNIVERSAL,MAS,BATTERY,52.67,85,153,0,,
13440,NS70LMF,NS70LMF,MAS BATTERY NS70LMF,UNIVERSAL,MAS,BATTERY,56.83,85,153,1,,
13716,NX120-7MF,NX120-7MF,MAS BATTERY NX120-7MF,UNIVERSAL,MAS,BATTERY,69.3,102,183.6,3,,
13717,NS60A(T),NS60A(T),3K BATTERY NS60A(T),UNIVERSAL,3K,BATTERY,37.2,55,102.6,0,,
13718,NS60LMF-S,NS60LMF-S,MAS BATTERY NS60LMF-S,UNIVERSAL,MAS,BATTERY,42.97,63,113.4,2,,
13834,DIN55LMF,DIN55LMF,MAS BATTERY DIN55LMF,UNIVERSAL,MAS,BATTERY,48.51,75,135,0,,
13993,13738,BHFM-N60,BATTERY METAL,UNIVERSAL,TWN,BATTERY,0,3,0,0,,
14320,N150A,N150A,3K BATTERY N150A,UNIVERSAL,3K,BATTERY,107.678,148,0,0,,
14335,N120MF,N120MF,MAS BATTERY N120MF,,MAS,BATTERY,102.54,180,0,0,,
14337,N120A,N120A,3K BATTERY N120A,UNIVERSAL,3K,BATTERY,84.894,128,0,0,,
14423,N40L,N40L,3K BATTERY N40L,UNIVERSAL,3K,BATTERY,38.2,54,0,0,,
14459,DIN45MF,DIN45MF,MAS BATTERY DIN45MF,,MAS,BATTERY,45.39,75,0,0,,
14504,ASK NS40Z,ASK NS40Z,ASUKI NS40Z,,ASUKI,BATTERY,31.4,43.5,0,12,,
14505,ASK N40L,ASK N40L,ASUKI N40L,,ASUKI,BATTERY,32.28,44.5,0,0,,
14552,N200MF,N200MF,MAS BATTERY N200MF,,MAS,BATTERY,164.57,265,0,0,,
20043,YOKOHAMA NS40Z,YOKOHAMA NS40Z,YOKOHAMA BATTERY,,YOKOHAMA,BATTERY,0,0,0,17,,
20185,HB46B24R,HB46B24R,3K BATTERY HB46B24R,UNIVERSAL,3K,BATTERY,40.4484,63,0,0,,
20186,HB46B24L,HB46B24L,3K BATTERY HB46B24L,UNIVERSAL,3K,BATTERY,40.4484,63,0,0,,
20187,HB80D26R,HB80D26R,3K BATTERY HB80D26R,UNIVERSAL,3K,BATTERY,61.5092,85,0,0,,
20188,HB80D26L,HB80D26L,3K BATTERY HB80D26L,UNIVERSAL,3K,BATTERY,61.5092,85,0,0,,
20189,HB95D31R,HB95D31R,3K BATTERY HB95D31R (HB155R),UNIVERSAL,3K,BATTERY,86.7051,105,0,0,,
20190,HB95D31L,HB95D31L,3K BATTERY HB95D31L (HB155L),UNIVERSAL,3K,BATTERY,86.7051,105,0,0,,
20231,N200-PANASONIC,N200-PANASONIC,PANASONIC BATTERY N200,,PANASONIC,BATTERY,255,304,0,2,,
20390,AD80D23L,AD80D23L,3K BATTERY AD80D23L,,3K,BATTERY,58.6479,78,0,0,,
20391,N200,N200,3K BATTERY N200 ,,3K,BATTERY,145.888,203,0,1,,
20677,N100,N100,FUJIYA BATTERY N100,UNIVERSAL,FUJIYA,BATTERY,106,110,0,0,,
20680,AD40B19L,AD40B19L,3K BATTERY AD40B19L,UNIVERSAL,3K,BATTERY,36.72,55,0,0,,
20681,AD55530,AD55530,3K BATTERY AD55530 ,UNIVERSAL,3K,BATTERY,52.59,78,0,0,,
20717,BT-6FM7-DV,BT-6FM7-DV,DYNAVOLT BATTERY,,DYNAVOLT,BATTERY,35,40,0,0,,
20730,N120,N120,FUJIYA BATTERY N120,,FUJIYA,BATTERY,113,113,0,0,,
20731,N150L*,N150L*,3K BATTERY N150L,UNIVERSAL,3K,BATTERY,116.401,160,0,16,,
20732,DIN54533*,DIN54533*,3K BATTERY DIN54533 (DIN45L),,3K,BATTERY,46.4667,74,0,81,,
20733,N100A*,N100A*,3K BATTERY N100A,,3K,BATTERY,69.9087,116,0,61,,
20734,NS60A(S)*,NS60A(S)*,3K BATTERY NS60A(S),,3K,BATTERY,40.1173,58,0,145,,
20735,HB95D31R*,HB95D31R*,3K BATTERY HB95D31R (HB155R),,3K,BATTERY,90.9137,110,0,49,,
20736,HB95D31L*,HB95D31L*,3K BATTERY HB95D31L (HB155L),,3K,BATTERY,90.9137,110,0,24,,
20737,HB80D26L*,HB80D26L*,3K BATTERY HB80D26L,,3K,BATTERY,63.7375,90,0,62,,
20738,HB80D26R*,HB80D26R*,3K BATTERY HB80D26R,,3K,BATTERY,61.7011,90,0,6,,
20739,AD80D23L*,AD80D23L*,3K BATTERY AD80D23L,,3K,BATTERY,63.1578,82,0,101,,
20740,NX120-7*,NX120-7*,3K BATTERY NX120-7,,3K,BATTERY,74.1412,103,0,69,,
20741,NX120-7L*,NX120-7L*,3K BATTERY NX120-7L,,3K,BATTERY,70.7578,103,0,172,173,STOCK TAKE DUE TO INTERNET PROBLEM
20797,NS40*,NS40*,3K BATTERY NS40,,3K,BATTERY,34.326,48,0,184,,
20798,NS60AL(T)*,NS60AL(T)*,3K BATTERY NS60AL(T),,3K,BATTERY,41.2284,58,0,112,,
20799,N120A*,N120A*,3K BATTERY N120A,,3K,BATTERY,97.1808,135,0,33,,
20800,N150A*,N150A*,3K BATTERY N150A,,3K,BATTERY,121.891,156,0,26,,
20801,HB46B24L*,HB46B24L*,3K BATTERY HB46B24L,,3K,BATTERY,43.6365,66,0,98,,
20802,HB46B24R*,HB46B24R*,3K BATTERY HB46B24R,,3K,BATTERY,42.5121,66,0,66,,
20811,NS60AL(S)*,NS60AL(S)*,3K BATTERY NS60AL(S),,3K,BATTERY,40.8871,58,0,278,,
20812,NS70L*,NS70L*,3K BATTERY NS70L,,3K,BATTERY,59.8143,84,0,187,188,STOCK TAKE DUE TO INTERNET PROBLEM
20852,NS40L*,NS40L*,3K BATTERY NS40L,,3K,BATTERY,34.932,48,0,265,,
20853,NS60A(T)*,NS60A(T)*,3K BATTERY NS60A(T),,3K,BATTERY,40.1173,58,0,163,,
20854,NS70*,NS70*,3K BATTERY NS70,,3K,BATTERY,57.5142,84,0,55,,
20855,55D23L*,55D23L*,3K BATTERY 55D23L,,3K,BATTERY,57.589,74,0,38,,
20856,AD40B19L*,AD40B19L*,3K BATTERY AD40B19L,,3K,BATTERY,38.8649,58,0,154,,
20857,AD55530*,AD55530*,3K BATTERY AD55530,,3K,BATTERY,57.9776,82,0,37,,
20925,55D23R*,55D23R*,3K BATTERY 55D23R,,3K,BATTERY,54.0666,74,0,83,,
20966,AD105D31R*,AD105D31R*,3K BATTERY AD105D31R,,3K,BATTERY,77.2297,110,0,54,,
20967,AD105D31L*,AD105D31L*,3K BATTERY AD105D31L,,3K,BATTERY,77.2297,110,0,1,,
20968,AD40B19R*,AD40B19R*,3K BATTERY AD40B19R,,3K,BATTERY,38.8649,58,0,81,,
20969,AD55B24R*,AD55B24R*,3K BATTERY AD55B24R,,3K,BATTERY,50.3579,66,0,110,,
20970,AD55B24L*,AD55B24L*,3K BATTERY AD55B24L,,3K,BATTERY,50.3579,66,0,113,,
20973,AD80D26L*,AD80D26L*,3K BATTERY AD80D26L ,,3K,BATTERY,70.3326,90,0,31,,
20974,AD80D26R*,AD80D26R*,3K BATTERY AD80D26R,,3K,BATTERY,70.7334,90,0,62,,
20982,DIN54434*,DIN54434*,3K BATTERY DIN54434 (DIN44),,3K,BATTERY,42.4468,70,0,79,,
20983,DIN55530*,DIN55530*,3K BATTERY DIN55530 (DIN55L),,3K,BATTERY,52.2664,74,0,234,,
20984,N200*,N200*,3K BATTERY N200 ,,3K,BATTERY,149.995,203,0,21,,
20994,NX120-7L(FUJIYA),NX120-7L(FUJIYA),NX120-7L(FUJIYA),,,BATTERY,80,94,0,0,,
20995,NS40ZL(JP),NS40ZL(JP),NS40ZL(JP),,,BATTERY,35,43,0,0,,
