Item Id,Stock Code,Part No,Description,Car Model,Brand,Category,Cost Price,Sell Price,Last Sell Price,Current Quantity,Stock Take,Reason
332,KO-3PK-810,KO-3PK-810,KOBEI BELTING JAPAN 3PK 810,UNIVERSAL,KOBEI,BELTING,2.93,4,0,3,,
405,150,5PK 1190,BELTING 5PK 1190,UNIVERSAL,KOBEI,BELTING,0,13.9,25.1,0,,
406,151,4PK 875,BELTING 4PK 875,UNIVERSAL,KOBEI,BELTING,0,7.3,13.2,0,,
417,162,4PK 1420,BELTING 4PK 1420,UNIVERSAL,MITSUBOSHI,BELTING,0,10.7,19.3,0,,
423,168,4PK 845,BELTING 4PK 845,UNIVERSAL,ASUKI,BELTING,0,7.1,12.8,0,,
446,191,MPMF-8385,BELTING 8385,UNIVERSAL,MITSUBOSHI,BELTING,0,4.81,8.7,0,,
447,192,MPMF-8450,BELTING 8450,UNIVERSAL,MITSUBOSHI,BELTING,0,6.8,12.3,0,,
448,MPMF-8450,MPMF-8450,V BELT MPMF-8450,UNIVERSAL,MITSUBOSHI,BELTING,0,8,12.8,0,,
449,194,RECMF-8445,BELTING 8445,UNIVERSAL,ASUKI,BELTING,0,6.8,12.3,0,,
450,195,RELMF-8430,BELTING 8430,UNIVERSAL,ASUKI,BELTING,0,5.3,9.6,0,,
451,196,MPMF-8425,BELTING 8425,UNIVERSAL,ASUKI,BELTING,0,6.6,11.9,0,,
452,MPMF-8440,MPMF-8440,V BELT MPMF-8440,UNIVERSAL,MITSUBOSHI,BELTING,5.72,8,9.9,10,,
454,MPMF-8420,MPMF-8420,V BELT MPMF-8420,UNIVERSAL,MITSUBOSHI,BELTING,5.46,7.7,11.9,9,,
455,200,RELMF-8415,BELTING 8415,UNIVERSAL,ASUKI,BELTING,0,4.5,8.1,0,,
456,MPMF-8410,MPMF-8410,V BELT MPMF-8410,UNIVERSAL,MITSUBOSHI,BELTING,5.33,7.5,11.6,0,,
457,MPMF-8400,MPMF-8400,V BELT MPMF-8400,UNIVERSAL,MITSUBOSHI,BELTING,5.19,7.4,11.2,0,,
458,203,MPMF-6535,BELTING 6535,UNIVERSAL,MITSUBOSHI,BELTING,0,4.07,7.4,0,,
459,204,MPMF-6520,BELTING 6520,UNIVERSAL,MITSUBOSHI,BELTING,0,3.95,7.2,0,,
460,205,MPMF-1440,BELTING 1440,UNIVERSAL,MITSUBOSHI,BELTING,0,2.7,4.8,0,,
461,206,REMF-1405,BELTING 1405,UNIVERSAL,MITSUBOSHI,BELTING,0,5,9,0,,
462,MPMF-1395,MPMF-1395,V BELT MPMF-1395,UNIVERSAL,MITSUBOSHI,BELTING,2.3,3.5,7.4,2,,
465,MPMF-1350,MPMF-1350,V BELT MPMF-1350,UNIVERSAL,MITSUBOSHI,BELTING,2.17,3.1,3.1,0,,
466,MPMF-1335,MPMF-1335,V BELT MPMF-1335,UNIVERSAL,MITSUBOSHI,BELTING,2.07,2.9,3.6,1,,
467,MPMF-1330,MPMF-1330,V BELT MPMF-1330,UNIVERSAL,MITSUBOSHI,BELTING,2.04,2.9,3.8,13,,
468,MPMF-1325,MPMF-1325,V BELT MPMF-1325,UNIVERSAL,MITSUBOSHI,BELTING,1.9,2.9,3.5,18,,
469,MPMF-1320,MPMF-1320,V BELT MPMF-1320,UNIVERSAL,MITSUBOSHI,BELTING,1.98,2.8,4.5,4,,
470,MPMF-1315,MPMF-1315,V BELT MPMF-1315,UNIVERSAL,MITSUBOSHI,BELTING,3,2.8,18,0,,
471,MPMF-6480,MPMF-6480,V BELT MPM-6480,UNIVERSAL,MITSUBOSHI,BELTING,3.79,5.3,8.3,1,,
472,MPMF-6490,MPMF-6490,V BELT MPMF-6490,UNIVERSAL,MITSUBOSHI,BELTING,3.87,5.4,6.7,0,,
473,MPMF-6450,MPMF-6450,V BELT MPMF-6450,UNIVERSAL,MITSUBOSHI,BELTING,3.55,5,4.7,0,,
474,MPMF-6385,MPMF-6385,V BELT MPMF-6385,UNIVERSAL,MITSUBOSHI,BELTING,3.8,4.3,3.8,0,,
475,MPMF-6365,MPMF-6365,V BELT MPMF-6365,UNIVERSAL,MITSUBOSHI,BELTING,3.5,4.1,6.3,0,,
476,MPMF-6355,MPMF-6355,V BELT MPMF-6355,UNIVERSAL,MITSUBOSHI,BELTING,3.5,4,3.6,0,,
477,MPMF-6350,MPMF-6350,V BELT MPMF-6350,UNIVERSAL,MITSUBOSHI,BELTING,3.5,4,3.6,0,,
478,MPMF-6335,MPMF-6335,V BELT MPMF-6335,UNIVERSAL,MITSUBOSHI,BELTING,3.3,3.8,3.3,0,,
479,MPMF-6320,MPMF-6320,V BELT MPMF-6320,UNIVERSAL,MITSUBOSHI,BELTING,3.2,3.6,5.4,0,,
480,MPMF-6315,MPMF-6315,V BELT MPMF-6315,UNIVERSAL,MITSUBOSHI,BELTING,3.1,3.5,3.3,0,,
481,MPMF-6310,MPMF-6310,V BELT MPMF-6310,UNIVERSAL,MITSUBOSHI,BELTING,3.1,3.4,3.3,0,,
482,MPMF-6300,MPMF-6300,V BELT MPMF-6300,UNIVERSAL,MITSUBOSHI,BELTING,2.37,3.3,5.3,0,,
483,MPMF-6250,MPMF-6250,V BELT MPMF-6250,UNIVERSAL,MITSUBOSHI,BELTING,1.97,2.8,0,0,,
485,MPMF-6230,MPMF-6230,V BELT MPMF-6230,MIT CB1 (P/STRG),MITSUBOSHI,BELTING,1.81,2.5,3.2,0,,
486,231,11950-D2016,BELTING NS,NS,G,BELTING,0,15,27,0,,
487,232,11720-03J01,BELTING NS,NS,G,BELTING,0,15,27,0,,
488,233,MPMF-9330,BELTING 9330,UNIVERSAL,GATES,BELTING,0,3.5,6.3,0,,
489,234,MPMF-9279,BELTING 9279,UNIVERSAL,GATES,BELTING,0,3.5,6.3,0,,
490,235,MPMF-8435,BELTING 8435,UNIVERSAL,MITSUBOSHI,BELTING,0,5.42,0,0,,
556,MPMF-6345,MPMF-6345,V BELT MPMF-6345,UNIVERSAL,MITSUBOSHI,BELTING,3.3,3.8,6,0,,
721,466,3S-7PK-1755,BELTING 7PK-1755,UNIVERSAL,THREESTARS,BELTING,0,14.2,25.6,0,,
722,467,7PK 920,BELTING 7PK 920,TY,BANDO,BELTING,0,13.5,24.3,0,,
723,468,6PK 2010,BELTING 6PK 2010,MZ 2  2006--,KOBEI,BELTING,0,36.5,65.7,0,,
724,469,6PK 2020,BELTING 6PK 2020 MZ 2,MZ 2 2007I,MITSUBOSHI,BELTING,0,32,57.6,0,,
732,477,3S-6PK-1510,BELTING 6PK 1510,UNIVERSAL,THREESTARS,BELTING,0,10.5,18.9,0,,
733,478,6PK 1050,BELTING 6PK 1050,TY ES300 3VZ-FE,MITSUBOSHI,BELTING,0,13.2,23.8,0,,
750,495,5PK 1590,BELTING 5PK 1590,UNIVERSAL,ASUKI,BELTING,0,13.5,24.3,0,,
751,496,5PK 1590,BELTING 5PK 1590,UNIVERSAL,ASUKI,BELTING,0,9,16.2,0,,
